NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_GENERO,DT_NASCIMENTO,DS_COR_RACA,DS_GRAU_INSTRUCAO,DS_OCUPACAO,DS_SIT_TOT_TURNO,DS_SITUACAO_CANDIDATURA,ANO
5157,CASSIO ELMO GONÇALVES GALLO,CÁSSIO GALLO,PATRIOTA,PATRIOTA,MASCULINO,03/04/1972,BRANCA,SUPERIOR COMPLETO,FARMACÊUTICO,NÃO ELEITO,APTO,2022
1230,ANTONIO MARIO DE PAULA FERREIRA IELO,IELO,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,26/09/1960,BRANCA,SUPERIOR COMPLETO,ARQUITETO,NÃO ELEITO,APTO,2022
5108,EDVALDO DE OLIVEIRA PAULA,CASTELO ALEMÃO,PATRIOTA,PATRIOTA,MASCULINO,26/02/1978,BRANCA,SUPERIOR COMPLETO,COMERCIANTE,NÃO ELEITO,APTO,2022
5120,FERNANDA ALVES SILVA,FERNANDA ALVES,PATRIOTA,PATRIOTA,FEMININO,05/07/1975,BRANCA,ENSINO MÉDIO COMPLETO,JORNALISTA E REDATOR,NÃO ELEITO,APTO,2022
1227,MÁRIO ALVES DA SILVA FILHO,CORONEL MARIO FILHO,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,30/08/1967,PARDA,SUPERIOR COMPLETO,POLICIAL MILITAR,NÃO ELEITO,APTO,2022
1245,DIJAIR DE JESUS ALMEIDA,DIJAIR,PDT,PARTIDO DEMOCRÁTICO TRABALHISTA,MASCULINO,19/04/1957,PRETA,ENSINO MÉDIO COMPLETO,DIGITADOR,NÃO ELEITO,APTO,2022
4546,MARINA CORREIA DA SILVA,MARINA CORREIA,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,FEMININO,03/02/1982,PRETA,SUPERIOR INCOMPLETO,COMERCIANTE,SUPLENTE,APTO,2022
2322,ELIETE NUNES FERNANDES DA SILVA,ELIETE NUNES,CIDADANIA,CIDADANIA,FEMININO,20/08/1962,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
4567,ROSSIELI SOARES DA SILVA,ROSSIELI SOARES,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,09/10/1978,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
4505,GUILHERME DE SOUZA GOMES,GUILHERME GOMES,PSDB,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,MASCULINO,26/08/1973,BRANCA,SUPERIOR COMPLETO,EMPRESÁRIO,SUPLENTE,APTO,2022
1078,BENEDITO ROBERTO ALVES FERREIRA,ROBERTO ALVES,REPUBLICANOS,REPUBLICANOS,MASCULINO,27/05/1960,PARDA,SUPERIOR COMPLETO,DEPUTADO,SUPLENTE,APTO,2022
1015,DANIEL MOTTA DE OLIVEIRA,DANIEL MOTTA,REPUBLICANOS,REPUBLICANOS,MASCULINO,15/10/1978,BRANCA,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,SUPLENTE,APTO,2022
1056,ROBERTO PIRES,ROBERTO PIRES,REPUBLICANOS,REPUBLICANOS,MASCULINO,18/03/1965,BRANCA,SUPERIOR COMPLETO,COMERCIÁRIO,SUPLENTE,APTO,2022
1077,ADRIANO DA COSTA E SILVA,MAJOR COSTA E SILVA,REPUBLICANOS,REPUBLICANOS,MASCULINO,22/02/1977,BRANCA,SUPERIOR COMPLETO,MEMBRO DAS FORÇAS ARMADAS,SUPLENTE,APTO,2022
1084,RENATA BANHARA PEIXOTO MARCONDES,RENATA BANHARA,REPUBLICANOS,REPUBLICANOS,FEMININO,08/05/1975,BRANCA,ENSINO MÉDIO COMPLETO,JORNALISTA E REDATOR,SUPLENTE,APTO,2022
1063,ESNAR DONIZETI RIBEIRO LUZ,ESNAR RIBEIRO,REPUBLICANOS,REPUBLICANOS,MASCULINO,04/01/1964,BRANCA,ENSINO MÉDIO COMPLETO,LOCUTOR E COMENTARISTA DE RÁDIO E TELEVISÃO E RADIALISTA,SUPLENTE,APTO,2022
1008,GILBERTO BENTO,GILBERTO BOBY BOBY,REPUBLICANOS,REPUBLICANOS,MASCULINO,04/03/1969,PRETA,ENSINO FUNDAMENTAL COMPLETO,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",SUPLENTE,APTO,2022
1025,CARLOS MINORU ISHIKO,DR MINORU,REPUBLICANOS,REPUBLICANOS,MASCULINO,11/11/1959,AMARELA,SUPERIOR COMPLETO,EMPRESÁRIO,SUPLENTE,APTO,2022
1085,VINICIUS RAPOZO DE CARVALHO,VINICIUS CARVALHO,REPUBLICANOS,REPUBLICANOS,MASCULINO,07/01/1966,BRANCA,SUPERIOR COMPLETO,DEPUTADO,ELEITO POR QP,APTO,2022
1055,MILTON VIEIRA PINTO,MILTON VIEIRA,REPUBLICANOS,REPUBLICANOS,MASCULINO,16/09/1962,BRANCA,SUPERIOR INCOMPLETO,DEPUTADO,ELEITO POR QP,APTO,2022
7797,CLAUDIO FREITAS,CLAUDIO FREITAS,SOLIDARIEDADE,SOLIDARIEDADE,MASCULINO,01/07/1972,BRANCA,ENSINO MÉDIO COMPLETO,OUTROS,SUPLENTE,APTO,2022
7756,MÁRIO DE OLIVEIRA,MARINHO DO JORNAL,SOLIDARIEDADE,SOLIDARIEDADE,MASCULINO,12/03/1959,BRANCA,ENSINO MÉDIO COMPLETO,COMERCIANTE,SUPLENTE,APTO,2022
7796,TATIANA LIMA SCHIMIGUEL,TATIANA LIMA,SOLIDARIEDADE,SOLIDARIEDADE,FEMININO,18/07/1996,BRANCA,ENSINO FUNDAMENTAL COMPLETO,"FEIRANTE, AMBULANTE E MASCATE",SUPLENTE,APTO,2022
7779,ROBSON JOSE DOS SANTOS,ROBSON SANTOS,SOLIDARIEDADE,SOLIDARIEDADE,MASCULINO,14/11/1979,PRETA,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,SUPLENTE,APTO,2022
7751,PATRÍCIA CRISTINA MARÇAL,DRA. PATRICIA MARÇAL,SOLIDARIEDADE,SOLIDARIEDADE,FEMININO,14/12/1984,BRANCA,SUPERIOR COMPLETO,OUTROS,SUPLENTE,APTO,2022
7760,LUIS CLAUDIO BILI LINS DA SILVA,BILI,SOLIDARIEDADE,SOLIDARIEDADE,MASCULINO,08/02/1971,BRANCA,SUPERIOR COMPLETO,PUBLICITÁRIO,SUPLENTE,APTO,2022
3051,WALTER FERNANDES DA SILVA,WALTER FERNANDES,NOVO,PARTIDO NOVO,MASCULINO,01/04/1962,BRANCA,SUPERIOR COMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),SUPLENTE,APTO,2022
3005,THIAGO IMBERNOM,THIAGO IMBERNOM,NOVO,PARTIDO NOVO,MASCULINO,31/12/1979,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
3003,CLEVERSON FIUZA ALVES,FIUZA BITCOIN,NOVO,PARTIDO NOVO,MASCULINO,21/10/1963,BRANCA,SUPERIOR COMPLETO,ARQUITETO,SUPLENTE,APTO,2022
3080,SIDNEY CARVALHO ELIAS,SIDNEY ELIAS,NOVO,PARTIDO NOVO,MASCULINO,05/08/1970,BRANCA,SUPERIOR COMPLETO,ADVOGADO,SUPLENTE,APTO,2022
3055,FERNANDO HOLIDAY SILVA BISPO,FERNANDO HOLIDAY,NOVO,PARTIDO NOVO,MASCULINO,22/09/1996,PRETA,SUPERIOR COMPLETO,VEREADOR,SUPLENTE,APTO,2022
3034,FABIO RENATO DE SOUSA FERREIRA,FÁBIO RENATO,NOVO,PARTIDO NOVO,MASCULINO,02/07/1974,BRANCA,SUPERIOR COMPLETO,ENGENHEIRO,SUPLENTE,APTO,2022
3008,ADAMARIO MAXIMO DOS SANTOS FILHO,ADAMARIO MAXIMO,NOVO,PARTIDO NOVO,MASCULINO,12/05/1966,PARDA,SUPERIOR COMPLETO,GERENTE,SUPLENTE,APTO,2022
3098,JOSE ANDRE FERNANDES,PROFESSOR ANDRÉ,NOVO,PARTIDO NOVO,MASCULINO,28/02/1962,BRANCA,SUPERIOR COMPLETO,EMPRESÁRIO,SUPLENTE,APTO,2022
5560,CLAUDIA CARRATO GRANDE,CLAUDIA GRANDE,PSD,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,18/05/1956,BRANCA,SUPERIOR INCOMPLETO,EMPRESÁRIO,SUPLENTE,APTO,2022
5502,FABIO HENRIQUE DA CONCEIÇÃO,FABIÃO SJC,PSD,PARTIDO SOCIAL DEMOCRÁTICO,MASCULINO,22/05/1981,BRANCA,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,SUPLENTE,APTO,2022
5575,ALESSANDRO DE FREITAS LEONE,LEONE,PSD,PARTIDO SOCIAL DEMOCRÁTICO,MASCULINO,14/12/1972,BRANCA,SUPERIOR COMPLETO,TAXISTA,SUPLENTE,APTO,2022
5521,RICARDO MITSUO NAKAGAWA,DR RICARDO,PSD,PARTIDO SOCIAL DEMOCRÁTICO,MASCULINO,22/11/1971,AMARELA,SUPERIOR COMPLETO,MÉDICO,SUPLENTE,APTO,2022
9040,JANAINA PEREIRA DA SILVA SOARES,JANAINA SOARES,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,03/06/1988,PRETA,ENSINO FUNDAMENTAL COMPLETO,DONA DE CASA,NÃO ELEITO,APTO,2022
9004,NEUSA ANTONIA PERINO,NEUSINHA PERINO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,13/06/1973,BRANCA,ENSINO MÉDIO COMPLETO,SECRETÁRIO E DATILÓGRAFO,NÃO ELEITO,APTO,2022
9017,MIRANICE DOS SANTOS BARRETO,MIRAH BARRETO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,11/04/1954,PARDA,SUPERIOR COMPLETO,PSICÓLOGO,NÃO ELEITO,APTO,2022
9075,DECIO COUTO CLEMENTE,DECIO CLEMENTE,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,17/01/1949,PRETA,SUPERIOR COMPLETO,ADMINISTRADOR,NÃO ELEITO,APTO,2022
9039,ROSNAY LUCAS BERNARDES,NAY BERNARDES,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,18/06/1962,BRANCA,ENSINO MÉDIO COMPLETO,OUTROS,NÃO ELEITO,APTO,2022
9074,ALUISIO LUNDGREN CORREA REGIS,ALUISIO LUNDGREN,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,06/05/1974,BRANCA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
9070,DANIEL BELCHIOR SANTANA,DANIEL BELCHIOR SANTANA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,30/08/1970,PARDA,SUPERIOR INCOMPLETO,OUTROS,NÃO ELEITO,APTO,2022
9007,MATHEUS GARCIA MOREIRA,MATHEUS GARCIA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,08/08/1998,BRANCA,SUPERIOR COMPLETO,RECEPCIONISTA,NÃO ELEITO,APTO,2022
9066,BIANCA MARIA DELLA SANTA PIMENTA,BIANCA PIMENTA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,06/09/1956,BRANCA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
9027,FATIMA APARECIDA SANTOS DE SOUZA,FÁTIMA PÉROLA NEGGRA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,14/02/1968,PRETA,SUPERIOR COMPLETO,POLICIAL MILITAR,NÃO ELEITO,APTO,2022
